gene,gene_name,zscore,pvalue,pred_perf_R2,VAR_g,n,covariance_n,model_n
RELT,RELT,-0.629167952707,0.529239107089,0.202951649423,0.161208962085,39,39,39
HMG20A,HMG20A,0.629142645504,0.529255673538,0.0748714995076,0.0578306247266,20,20,20
MPDU1,MPDU1,-0.628985575321,0.529358499775,0.0157297439933,0.0176154046955,31,31,31
LY6G6C,LY6G6C,0.628984232915,0.529359378627,0.00274207587255,0.0103348924452,14,14,14
RFESD,RFESD,0.628919373778,0.529401841761,0.00390566002489,0.00598700519036,23,24,24
WDR46,WDR46,-0.628861566821,0.529439689308,0.032943166586,0.0188604817352,15,15,15
JAKMIP2,JAKMIP2,0.628812468407,0.529471836252,0.420319526302,0.372615925249,76,78,78
DOCK8,DOCK8,-0.628788436985,0.529487571068,0.162149546304,0.141433093019,59,59,59
IL10RB,IL10RB,-0.628755781992,0.529508952636,0.0704863645523,0.054322704821,41,41,41
OSBPL6,OSBPL6,0.628733213321,0.529523730221,0.19984762117,0.139445047306,27,27,27
C9orf114,C9orf114,0.628677187313,0.529560416013,0.0176360779547,0.0343777968493,58,60,60
SEC61A2,SEC61A2,-0.628244468466,0.529843803548,0.209033253954,0.115084840659,19,20,20
MEI1,MEI1,0.628225116296,0.529856479082,0.509944829852,0.455825274015,89,89,89
CNOT8,CNOT8,0.628058038253,0.529965920428,0.0143250720193,0.0191575228565,23,23,23
COCH,COCH,0.627927913175,0.530051164382,0.14205399388,0.10216626859,31,31,31
HECW2,HECW2,0.627852086123,0.530100841321,0.139062445148,0.114636685488,24,24,24
TRPV1,TRPV1,0.627846665133,0.530104392891,0.132973488071,0.123672475467,52,52,52
CTU2,CTU2,0.627814032797,0.53012577227,0.227611756684,0.198565942242,32,32,32
BAHCC1,BAHCC1,-0.62755243655,0.53029717532,0.0936847552838,0.101657871744,62,62,62
CENPL,CENPL,-0.627506304414,0.530327404929,0.0178993497559,0.0157150362211,20,20,20
BAG2,BAG2,0.62727944501,0.530476074797,0.0386581394726,0.0605918729199,39,39,39
CCDC37,CCDC37,0.62714808546,0.530562169537,0.0586302375082,0.0299474605455,5,5,5
BANP,BANP,-0.627019199763,0.530646649775,0.0061190330719,0.00345199529733,8,8,8
NDUFV3,NDUFV3,-0.626966829005,0.530680978996,0.598841723902,0.555282570555,34,34,34
UFD1L,UFD1L,0.626865033875,0.530747709296,0.000541467174585,0.000627641129293,3,3,3
LHFPL2,LHFPL2,-0.626858274046,0.530752140753,0.0352942097982,0.0371177957143,50,50,50
AGRN,AGRN,-0.626831026788,0.53077000309,0.00834512353109,0.0173406147859,24,24,24
CMPK1,CMPK1,0.626724301145,0.530839971579,0.0509011607544,0.0400260786483,38,39,39
SIDT2,SIDT2,0.626578763868,0.530935392212,0.614195052028,0.582850606321,21,21,21
DRD4,DRD4,0.626521187736,0.530973144056,0.077093343138,0.0732349358708,42,42,42
C3orf71,C3orf71,-0.626439215161,0.531026894647,0.00066864642335,0.000690246936002,7,7,7
DDX31,DDX31,-0.626234191077,0.531161343959,0.149176492484,0.099051101477,12,12,12
TNFSF4,TNFSF4,0.62620340335,0.531181535218,0.121109019143,0.0911643913259,39,39,39
PLXNC1,PLXNC1,0.62604566436,0.531284989975,0.0075329799827,0.00332814370175,3,3,3
MAGI3,MAGI3,-0.625921670066,0.531366320094,0.00805138347712,0.0311516984165,60,60,60
P4HTM,P4HTM,0.625501500219,0.531641964094,0.147052271079,0.134778560912,26,26,26
PABPC1L,PABPC1L,-0.624920247252,0.53202340288,0.120171804753,0.0936181636549,43,43,43
KLHL26,KLHL26,-0.624718158972,0.532156052837,0.0496097092406,0.0444861333561,47,47,47
DNAH12,DNAH12,0.624702614477,0.532166256877,0.000103046973821,0.000350025470677,4,4,4
BCAR1,BCAR1,0.624394440697,0.532368575148,0.474065239207,0.388071541836,13,13,13
FAM8A1,FAM8A1,0.624163156216,0.532520440625,0.045168610827,0.0266973957575,15,15,15
PHF20L1,PHF20L1,0.624147765156,0.532530547445,0.033075730885,0.0250087301703,43,43,43
IGSF11,IGSF11,-0.624089258247,0.532568967959,0.139316545522,0.106317149087,44,44,44
PSMG4,PSMG4,0.623653179323,0.532855377927,0.314164571309,0.239088722405,39,39,39
ADCY4,ADCY4,0.62358257541,0.532901756826,0.000634579076702,0.000965145233473,3,3,3
ITGB3,ITGB3,0.623365376452,0.533044445127,0.0198135786542,0.0227951044958,25,25,25
GCDH,GCDH,-0.623337303415,0.533062889047,0.446293015583,0.390589614768,5,5,5
GPD1,GPD1,0.623306575722,0.53308307744,0.00238389381166,0.000234299955093,4,4,4
CHIT1,CHIT1,-0.623131692087,0.53319798505,0.182390254282,0.132581393399,51,52,52
DPP3,DPP3,-0.623057653032,0.533246636318,0.10061343538,0.0722430780878,36,37,37
CEACAM21,CEACAM21,-0.622617487743,0.53353591648,0.793172710562,0.8539346802,95,95,95
ST8SIA6,ST8SIA6,-0.62258144674,0.533559606429,0.0833663126896,0.0492924669912,30,30,30
NELF,NELF,0.62250199594,0.533611831753,0.377744495922,0.372498971122,73,73,73
INPP5A,INPP5A,-0.622376114374,0.53369458266,0.0347821557335,0.0149637124532,18,18,18
EPSTI1,EPSTI1,0.622254325476,0.533774649335,0.176105411041,0.129924190281,34,34,34
NRN1,NRN1,0.622174299655,0.533827263357,0.459074900673,0.301498712721,49,50,50
CDK3,CDK3,0.621698514702,0.534140128476,0.166850693118,0.133465003742,29,30,30
FBXO33,FBXO33,0.621548652235,0.534238693719,0.000230141043679,0.00124066569343,9,9,9
RNF144B,RNF144B,-0.621531594851,0.534249913022,0.158701445196,0.118079969101,30,30,30
UBQLNL,UBQLNL,0.621256146364,0.534431102642,0.399782232362,0.362275720932,129,129,129
CLDN5,CLDN5,-0.621198473383,0.534469043772,0.226019854879,0.166331463399,54,55,55
DCAF4,DCAF4,0.620937844035,0.534640520077,0.58390928325,0.595100748034,89,89,89
ZNF429,ZNF429,0.620793468424,0.534735521311,0.547303264008,0.500143853773,26,26,26
ACOX2,ACOX2,0.620697988103,0.534798353416,0.00726577703363,0.00479594752492,13,13,13
RAN,RAN,0.620391602069,0.535,0.00151763377729,7.58283345085e-05,1,1,1
WDR11,WDR11,-0.620292249519,0.535065396663,0.227389239024,0.212126248575,22,22,22
CADM4,CADM4,0.620254572831,0.53509019758,0.0483303519135,0.0657486892971,51,51,51
MRPS26,MRPS26,-0.620128426559,0.535173238378,0.00597768928037,0.00554096049423,10,11,11
PGBD2,PGBD2,0.619866554347,0.535345646909,0.00416341249144,0.0196173034665,32,34,34
DGKQ,DGKQ,0.619819657155,0.535376525519,0.754245729473,0.743075679734,89,90,90
SENP5,SENP5,-0.619723281791,0.535439984957,0.0019313653632,0.00444370952391,11,11,11
SCD,SCD,-0.619517379534,0.535575576302,0.00706603129741,0.00282702519077,3,3,3
IGSF9B,IGSF9B,-0.619517102734,0.535575758592,0.236324213833,0.169590152668,37,37,37
KCNC3,KCNC3,-0.619498943872,0.53558771745,0.0147242924552,0.0143819671283,22,22,22
TEX2,TEX2,0.61922951753,0.535765169008,0.000271501131633,0.00212893126199,8,9,9
HEATR1,HEATR1,-0.619151944648,0.53581626612,0.0721245505719,0.0510970540522,40,40,40
TTC17,TTC17,-0.61909035383,0.535856837624,0.0113923070766,0.0285214757956,49,50,50
TKT,TKT,-0.618781998305,0.536059982839,0.232932028176,0.169894699279,18,18,18
DCAF4L1,DCAF4L1,0.618753525959,0.536078742431,0.0561937367414,0.0456262279531,16,16,16
MARCH8,MARCH8,-0.618485031839,0.536255661564,0.0565569775975,0.0533850143045,20,20,20
SLC25A38,SLC25A38,0.618394837302,0.536315100146,0.0196361429151,0.00913702476831,4,4,4
OLIG1,OLIG1,0.618329467036,0.536358181499,0.265830540889,0.231173920075,48,48,48
CYTL1,CYTL1,0.618286761114,0.536386327177,0.34450347021,0.234400454628,44,45,45
ABCC5,ABCC5,0.617563572469,0.536863063228,0.44924359313,0.349512373829,24,24,24
DACT3,DACT3,-0.617556099182,0.536867990835,0.124301647326,0.0975160535511,16,16,16
DGAT2,DGAT2,-0.617547925802,0.536873380083,0.0421540388152,0.0211173849735,14,14,14
